algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic,False,cair,3,1563324327 1563324343 1563324353,100 5,1563324343 1563324327 1563324336 1154147727 1563324353 cluster_1563324333_1563324337,ppa_basic_100_5_82,20000,True,86.0350257247947,71.16491649164917,93.47008034136746,898,435,898,1.5396116286952957
ppa_basic,False,iitb,1,-266,100 0,-266 4369058864 667357382 -282 667357387 667357409,ppa_basic_100_0_66,20000,True,771.0217551622419,212.86073196340183,957.0754295618552,8232,895,8232,5.201923172259526
ppa_basic,False,iitb,4,cluster_-172_5366445082 667357361 -222 667357401,100 5,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_100_5_21,20000,True,151.39174707931272,95.26754495608552,170.09981445372176,1305,681,1305,2.0316995050081665
ppa_basic,False,iitb,1,667357361,100 0,667357361 667357419 667357387 668685374 1990860598,ppa_basic_100_0_59,20000,True,739.2905185203707,344.98356671334267,843.0555058380097,6832,1612,6832,2.7932974963198127
ppa_basic,False,iitb,2,-266 3215340463,100 5,667357412 -282 3215340463 -266 668620103 667357401,ppa_basic_100_5_64,20000,True,331.5827099803196,210.058107341806,372.0909108598241,2770,1204,2770,2.1983828566538257
ppa_basic,False,grid_5_5,1,5,100 0,5 1 18 13,ppa_basic_100_0_74,20000,True,341.7488052831699,131.83951620972584,381.73152701144494,2618,488,2618,3.2166291664935502
ppa_basic,False,iitb,1,-266,100 5,-266 4369058864 667357382 -282 667357387 667357409,ppa_basic_100_5_66,20000,True,479.727812390532,263.34753707317884,551.8545708296497,3164,1257,3164,2.4999448525522534
ppa_basic,False,iitb,4,cluster_-172_5366445082 667357361 -222 667357401,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_100_0_21,20000,True,249.92433919970668,93.82671699748344,301.9568799337811,3790,572,3790,3.7885968981344
ppa_basic,False,grid_5_5,2,15 2,100 5,8 15 1 21 2,ppa_basic_100_5_24,20000,True,155.55391447861967,128.65535383845963,162.27855463865964,852,554,852,1.376911126611113
ppa_basic,False,iitb,2,cluster_-172_5366445082 667357401,100 0,3215340463 cluster_-172_5366445082 667357401 1990860598 -222 667357361,ppa_basic_100_0_51,20000,True,442.6329929507049,162.6923390994234,535.9465442344654,7016,944,7016,3.681606581784733
ppa_basic,False,grid_5_5,4,24 15 11 6,100 5,6 15 24 0 11 17,ppa_basic_100_5_94,20000,True,86.011426,72.9305,90.14224473684207,520,459,520,1.3358581165255088
